Simulation,Seed,Crash Severity (%),Recovery Time (Ticks),Recovered
Baseline Model,3,3.93,31,1
Baseline Model,2,10.58,113,1
Baseline Model,0,9.14,92,1
Baseline Model,6,9.7,104,1
Baseline Model,1,8.61,90,1
Baseline Model,7,8.84,97,1
Baseline Model,4,8.47,86,1
Baseline Model,5,8.5,124,1
Baseline Model,12,8.29,106,1
Baseline Model,8,9.04,96,1
Baseline Model,9,8.49,87,1
Baseline Model,10,7.88,116,1
Baseline Model,11,9.17,111,1
Baseline Model,13,8.45,97,1
Baseline Model,14,8.98,109,1
Baseline Model,15,9.4,121,1
Baseline Model,16,6.28,61,1
Baseline Model,17,8.03,88,1
Baseline Model,19,9.34,90,1
Baseline Model,18,8.39,90,1
Baseline Model,20,7.82,78,1
Baseline Model,23,9.01,116,1
Baseline Model,22,6.84,72,1
Baseline Model,21,7.67,86,1
Baseline Model,26,9.06,114,1
Baseline Model,25,8.86,101,1
Baseline Model,24,8.7,101,1
Baseline Model,27,6.6,84,1
Baseline Model,29,7.38,65,1
Baseline Model,31,9.47,87,1
Baseline Model,28,8.1,77,1
Baseline Model,30,8.98,101,1
Baseline Model,32,8.18,90,1
Baseline Model,33,8.65,105,1
Baseline Model,36,7.73,110,1
Baseline Model,35,8.41,101,1
Baseline Model,37,6.9,87,1
Baseline Model,34,8.53,95,1
Baseline Model,38,7.11,86,1
Baseline Model,39,8.22,124,1
Baseline Model,40,9.03,105,1
Baseline Model,42,5.12,47,1
Baseline Model,43,8.14,81,1
Baseline Model,41,9.61,104,1
Baseline Model,44,9.13,90,1
Baseline Model,45,8.44,92,1
Baseline Model,47,8.54,96,1
Baseline Model,46,9.0,106,1
Baseline Model,48,9.63,101,1
Baseline Model,49,8.78,117,1
Baseline Model,51,9.08,113,1
Baseline Model,50,8.22,88,1
Baseline Model,52,8.72,121,1
Baseline Model,53,7.2,81,1
Baseline Model,54,8.63,123,1
Baseline Model,55,9.13,112,1
Baseline Model,56,9.42,106,1
Baseline Model,57,7.03,90,1
Baseline Model,58,9.09,118,1
Baseline Model,60,8.72,117,1
Baseline Model,59,3.9,70,1
Baseline Model,61,8.75,88,1
Baseline Model,62,8.92,84,1
Baseline Model,63,6.19,52,1
Baseline Model,64,8.12,80,1
Baseline Model,65,8.44,94,1
Baseline Model,66,9.1,123,1
Baseline Model,67,8.76,92,1
Baseline Model,70,7.0,78,1
Baseline Model,68,8.54,124,1
Baseline Model,69,9.37,105,1
Baseline Model,71,7.95,77,1
Baseline Model,72,9.28,103,1
Baseline Model,73,8.81,89,1
Baseline Model,74,8.72,66,1
Baseline Model,75,8.58,73,1
Baseline Model,76,7.81,79,1
Baseline Model,77,9.42,80,1
Baseline Model,78,8.71,116,1
Baseline Model,79,8.4,93,1
Baseline Model,80,6.93,72,1
Baseline Model,81,9.55,122,1
Baseline Model,82,9.41,96,1
Baseline Model,84,6.63,58,1
Baseline Model,83,9.57,109,1
Baseline Model,85,8.95,89,1
Baseline Model,86,8.25,75,1
Baseline Model,87,8.44,94,1
Baseline Model,88,9.54,106,1
Baseline Model,89,7.7,93,1
Baseline Model,90,8.56,88,1
Baseline Model,91,8.76,124,1
Baseline Model,92,8.6,112,1
Baseline Model,93,8.93,94,1
Baseline Model,94,9.62,111,1
Baseline Model,95,6.62,86,1
Baseline Model,96,8.11,86,1
Baseline Model,97,8.91,96,1
Baseline Model,98,8.77,125,1
Baseline Model,99,6.02,90,1
Baseline Model with HFT,0,6.79,97,1
Baseline Model with HFT,1,5.34,90,1
Baseline Model with HFT,2,5.36,101,1
Baseline Model with HFT,3,8.53,102,1
Baseline Model with HFT,4,4.51,88,1
Baseline Model with HFT,5,6.86,89,1
Baseline Model with HFT,6,4.26,74,1
Baseline Model with HFT,7,7.35,119,1
Baseline Model with HFT,9,5.7,131,1
Baseline Model with HFT,8,5.83,65,1
Baseline Model with HFT,11,6.5,112,1
Baseline Model with HFT,10,8.12,87,1
Baseline Model with HFT,12,8.63,95,1
Baseline Model with HFT,13,4.66,98,1
Baseline Model with HFT,15,5.18,67,1
Baseline Model with HFT,14,5.92,102,1
Baseline Model with HFT,16,7.12,78,1
Baseline Model with HFT,17,5.74,93,1
Baseline Model with HFT,18,5.85,90,1
Baseline Model with HFT,19,9.01,114,1
Baseline Model with HFT,20,6.01,67,1
Baseline Model with HFT,21,8.06,69,1
Baseline Model with HFT,22,8.85,91,1
Baseline Model with HFT,23,8.28,104,1
Baseline Model with HFT,24,5.44,74,1
Baseline Model with HFT,25,8.98,111,1
Baseline Model with HFT,26,7.35,99,1
Baseline Model with HFT,27,6.57,89,1
Baseline Model with HFT,28,8.4,100,1
Baseline Model with HFT,29,5.85,64,1
Baseline Model with HFT,31,5.59,95,1
Baseline Model with HFT,30,6.11,128,1
Baseline Model with HFT,32,8.67,101,1
Baseline Model with HFT,33,8.48,94,1
Baseline Model with HFT,34,8.24,97,1
Baseline Model with HFT,35,7.26,120,1
Baseline Model with HFT,36,5.06,65,1
Baseline Model with HFT,37,7.99,82,1
Baseline Model with HFT,38,9.48,119,1
Baseline Model with HFT,39,7.76,114,1
Baseline Model with HFT,41,5.17,94,1
Baseline Model with HFT,40,7.83,104,1
Baseline Model with HFT,42,7.78,94,1
Baseline Model with HFT,43,3.79,49,1
Baseline Model with HFT,44,6.01,87,1
Baseline Model with HFT,45,8.66,103,1
Baseline Model with HFT,47,6.21,83,1
Baseline Model with HFT,46,5.59,70,1
Baseline Model with HFT,49,5.67,66,1
Baseline Model with HFT,48,3.85,69,1
